name,director_return
Susan Seidelman,5.48
Sydney Pollack,5.669999999999999
Sylvester Stallone,18.05666666666667
T. Hee,36.54
Tamra Davis,2.415
Taylor Hackford,2.68
Ted Berman,1.665
Ted Demme,0.9440000000000002
Ted Kotcheff,6.5
Ted Post,6.33
Terrence Malick,1.89
Terry Gilliam,6.289999999999999
Terry Jones,8.79
Thom Eberhardt,4.81
Thomas Carter,0.58
Thomas Schlamme,0.58
Tim Burton,5.188571428571429
Tim Johnson,2.86
Tim Pope,1.38
Tim Robbins,3.58
Tobe Hooper,96.89999999999999
Tod Browning,2.85
Todd Solondz,0.94
Tom DiCillo,2.3
Tom Holland,4.91
Tom McLoughlin,6.49
Tom Shadyac,4.538
Tommy Lee Wallace,5.76
Tony Bancroft,3.38
Tony Kaye,1.19
Tony Richardson,37.6
Tony Scott,4.832857142857143
Tsui Hark,0.84
Ulu Grosbard,0.74
Victor Fleming,41.45333333333334
Victor Nunez,1.25
Vincent Gallo,1.58
Vincent Ward,0.84
Vincente Minnelli,1.65
Vincenzo Natali,2.01
W.S. Van Dyke,6.29
Walter Hill,0.65
Walter Lang,4.68
Walter Murch,0.45
Walter Salles,1.93
Warren Beatty,1.5899999999999999
Wayne Wang,1.6066666666666667
Wes Anderson,0.99
Wes Craven,8.43
Wesley Strick,0.41
Wilfred Jackson,106.05851851851851
Willard Carroll,0.2
Willard Huyck,1.03
William Friedkin,26.076666666666664
William Keighley,1.96
William Roberts,116.74
William Shatner,2.34
William Wyler,9.776
Wim Wenders,1.2650000000000001
Wolfgang Petersen,3.75
Wolfgang Reitherman,29.364545454545453
Woody Allen,3.5275
