,production_company,movie_count,ganancia_total
274,Bawalco Picture Company,1,27046.0
275,Baweja Movies,1,30800231.0
276,Bayerischer Rundfunk (BR),1,192816.0
277,Bazelevs Production,5,27910211.0
278,Beacon Communications,1,524668.0
279,Beaver Films,1,8692426.0
280,Beaver-Champion Attractions,1,1750000.0
281,Becker & Häberle Filmproduktion GmbH,1,28814580.0
282,Beco Films,2,47033981.0
283,Bedford Falls Productions,1,160638883.0
284,Beijing New Picture Film Co. Ltd.,1,12355798.0
285,Bel Air Entertainment,2,10032241.0
286,Belarusfilm,1,9816332.0
287,Belladonna Productions,1,1503616.0
288,Belstar Productions,1,32056467.0
289,Belstone Pictures,1,809000.0
290,Ben Katz Productions,1,42931041.0
291,Benaroya Pictures,1,45300000.0
292,Benedict Bogeaus Production,1,3537961.0
293,Benedict Pictures Corp.,1,4000000.0
294,Benmar Productions,1,38610009.0
295,Bennett-Robbins Productions,1,29251596.0
296,Bergen Film,1,264118201.0
297,Bernhard-Brandt Productions,1,51155219.0
298,Berns Brothers Productions,1,121.0
299,Bert E. Friedlob Productions,2,10221483.0
300,Beta Film,3,15498757.0
301,Better Than,1,3176880.0
302,Beverly Detroit,1,39103425.0
303,Beyond Films,1,368234.0
304,Big Arty Productions,1,2725258.0
305,Big Beach Films,1,1110566.0
306,Big Deal Pictures,1,30626182.0
307,Big Easy Pictures,1,10337477.0
308,Big Idea Productions,1,10011050.0
309,Big Picture Media Corporation,1,603943.0
310,Big Screen Entertainment Group,2,202176112.0
311,Big Sister Production,1,127251.0
312,Bigel / Mailer Films,1,44527234.0
313,Bigelow Productions,1,13167232.0
314,Billy Jack Enterprises,1,196781193.0
315,Bioskop Film,2,42716963.0
316,Black Balloon Productions,1,17164377.0
317,Black Chalk Productions,1,21520719.0
318,Black Hawk Entertainment,1,30199105.0
319,Black Orange,1,14947.0
320,Blaustein-Baroda,1,40828540.0
321,Blaze Film Enterprises,1,27412220.0
322,Bleiberg Entertainment,1,152810.0
323,Blind Spot Pictures Oy,1,2426851.0
324,Block 2 Pictures,2,16135639.0
325,Bloody Disgusting,1,7171.0
326,Blue Askew,1,8000000.0
327,Blue Dolphin Film Distributors,1,72287783.0
328,Blue Parrot Productions,1,23341568.0
329,Blue Rider Pictures,2,415513353.0
330,Blue Sky Studios,2,148104695.0
331,Blueline Films,1,18599102.0
332,Blumhouse Productions,1,4600000.0
333,Blumhouse Television,1,28883511.0
334,Blurco,1,623.0
335,Bocaboca Producciones S.A.,1,112462508.0
336,Bodega Films,1,18686644.0
337,Boje Buck Produktion,2,371214537.0
338,Bold Films,1,5000000.0
339,Boll Kino Beteiligungs GmbH & Co. KG,3,852659732.0
340,Bones Studio,1,2400000.0
341,Boogui Cinema,1,84967.0
342,BorderLine Films,1,207945075.0
343,Bosna Film,1,92380927.0
344,Box Office Spectaculars,1,4000000.0
345,Boy Wonder Films,1,1300000.0
346,Brains Base,1,1397284.0
347,Brandenberg,1,242623.0
348,Brandywine Productions Ltd.,1,8690429.0
349,Braun Entertainment Group,1,1718328.0
350,Bridge Films,1,69700000.0
351,Brightstar Films,1,14681192.0
352,Brillstein-Grey Entertainment,1,71073932.0
353,British Broadcasting Corporation (BBC),13,395343311.0
354,British Columbia Film,2,32301472.0
355,British Film Institute (BFI),2,59800516.0
356,British Lion Film Corporation,2,9760983.0
357,British Lion Films,1,1432687.0
358,Bron Studios,1,500000.0
359,Brooksfilms,3,77155624.0
360,Brooksfilms Ltd.,1,1382462.0
361,Brookwell-McNamara Entertainment,1,2365467.0
362,Brookwood Entertainment,1,116643346.0
363,Bruce Cohn Productions,1,100525432.0
364,Bryan Foy Productions,1,58795814.0
365,Bryna Productions,2,51038530.0
366,Buena Vista,2,57946713.0
367,Burnside Entertainment,1,18130888.0
368,Busboy Productions,1,63372757.0
369,Buster Keaton Productions,5,89987519.0
370,Bystorm Films,1,292279.0
371,Böcek Yapım,1,55011732.0
372,C.B. DeMille Productions,1,31576.0
373,C.G. Silver Film,1,26501323.0
374,C.V. Whitney Pictures,1,140000000.0
375,CAPAC,1,25174316.0
376,CARTEL S.A.,1,1531251.0
377,CBS Entertainment Productions,2,32681309.0
378,CCC Filmkunst GmbH,1,1400000.0
379,CITA Films,1,243400000.0
380,CJ Entertainment,4,952581291.0
381,CTB Film Company,4,637676173.0
382,Cabin Creek Films,1,3572443.0
383,Calder Road Film,1,3919254.0
384,Cameo Film- und Fernsehproduktion,1,8009329.0
385,Camera 2 Productions,1,21821347.0
386,Campfire LLC,1,425368238.0
387,CanWest Global Communications Corporationt,1,90874570.0
388,Canadian Film Development Corporation (CFDC),4,21997340.0
389,Canal Plus,9,940872818.0
390,Canal+,13,644946931.0
391,Canal+ Espana,1,1822250.0
392,Canana Films,1,69564.0
393,Cannes Film Festival,1,643034466.0
394,Cannon Films,6,343694205.0
395,Cannon Group,9,354444286.0
396,Capcom,1,40120144.0
397,Capitol Films,4,256339942.0
398,Capitole Films,1,361366633.0
399,Cappa Productions,1,5101756.0
400,Capricci Films,1,74000000.0
401,Caravan Pictures,9,657135322.0
402,Carlmar Film,1,11.0
403,Carmel Entertainment,1,108979549.0
404,Carousel Picture Company,1,4245870.0
405,Casa de Filme Trei,1,17872796.0
406,Casablanca Filmworks,1,100000000.0
407,Casey Silver Productions,1,5001655.0
408,Castel Film Romania,4,340541656.0
409,Castel Films,1,48298.0
410,Castle Rock Entertainment,13,1138116482.0
411,Castleberg Productions,1,718490.0
412,CatchPlay,1,573335.0
413,Catchlight Films,1,52223306.0
414,Cattleya,1,156505388.0
415,Caviar Films,1,35991087.0
416,Ce Qui Me Meut,1,21766271.0
417,Cecchi Gori Group Tiger Cinematografica,3,45392091.0
418,Celador Films,1,121147947.0
419,Celebrated Productions,1,11390479.0
420,Celluloid Dreams,3,782216940.0
421,Centar Film,1,6455530.0
422,Central Films Limited,1,72108608.0
423,Central Motion Pictures,1,516642939.0
424,Central Partnership,2,91240456.0
425,Centre National de la Cinématographie,4,82773422.0
426,Centropolis Entertainment,2,205513499.0
427,Century 21 Television,2,284981157.0
428,Cerito Films,1,35402320.0
429,Ceskoslovenský Státní Film,1,3142154.0
430,Ceská Televize,2,98877825.0
431,Chadwick Pictures Corporation,1,369975.0
432,Chaiken Films,1,3225000.0
433,Channel 4 Television,1,189712432.0
434,Channel 4 Television Corporation,1,414211549.0
435,Channel Four Films,22,1249817641.0
436,"Chaos, a Film Company",1,226830568.0
437,Charles Chaplin Productions,3,219329182.0
438,Charles K. Feldman Group,1,1910.0
439,Charles M. Schulz Creative Associates,1,17112713.0
440,Charter Film Productions,1,34533783.0
441,Chassy Media,1,1776333.0
442,Cheap and Dirty Productions Inc.,1,415440673.0
443,Chenault Productions,1,12729678.0
444,Cherokee Productions,1,56299.0
445,Cherry Sky Films,1,46495.0
446,Cheyenne Enterprises,1,57223890.0
447,Chili Film,1,108782847.0
448,China Film Co-Production Corporation,3,119514939.0
449,China Film Company,1,16971.0
450,Christal Films,1,62985.0
451,Christiano Film Group,1,23000.0
452,Chromewood Productions,1,245527149.0
453,Ciby 2000,2,36252726.0
454,Cicrus King Productions,1,449326618.0
455,Cinamour Entertainment,1,1119368.0
456,Cine Bazar,1,52424533.0
457,Cine Films Inc.,1,52164.0
458,Cine-2000 Film Production,1,101595121.0
459,CineEvelyn,1,154906693.0
460,Cineclick Asia,1,11260366.0
461,Cinema 175,1,6000000.0
462,Cinema 7,1,4137645.0
463,Cinema 77,2,13484331.0
464,Cinema Center Films,4,512846356.0
465,Cinema City,1,14182492.0
466,Cinema Service,1,429632142.0
467,Cinematografica Emmeci,1,26888376.0
468,Cinematograph AB,1,21134374.0
469,Cineplex,1,60289912.0
470,Cineplex-Odeon Films,2,214695279.0
471,Cinerama Productions Corp.,1,5151936.0
472,Cinergi Pictures Entertainment,1,24332324.0
473,Cineriz,1,5000000.0
474,Cinetel Films,4,15065527.0
475,Cinevent,1,73121.0
476,Cineville,1,858250.0
477,Cinevox Filmproduktion GmbH,1,24046533.0
478,Ciné Cri De Coeur,1,58978653.0
479,Ciné Tamaris,1,23430766.0
480,Ciné-Alliance,1,96105964.0
481,CinéCinéma,2,77393.0
482,Cinéa,2,1348785.0
483,Cinémaginaire Inc.,1,631083.0
484,Circle Films,1,54682547.0
485,Circle Productions Inc.,1,86865564.0
486,Citel Films,2,34973057.0
487,Citizen Films,1,30238577.0
488,Citizen Skull Productions,1,1957000.0
489,City Film,1,216166.0
490,City Light Films,1,14393902.0
491,Cité Films,1,1221832.0
492,Civilian Pictures,1,151493655.0
493,Claussen + Wöbke Filmproduktion GmbH,2,30256285.0
494,Claussen Wöbke Putz Filmproduktion,1,269994119.0
495,Clear Blue Sky Productions,1,109130.0
496,Clinica Estetico,1,72527595.0
497,Clover Productions,1,21000000.0
498,CoPilot Pictures,1,4505.0
499,Cobalt Media Group,1,31179516.0
500,Cocinor,1,3983912.0
501,Code Entertainment,1,9000000.0
502,Cofimage 5,1,12643776.0
503,Cofinova 3,1,129540499.0
504,Cofinova 4,1,19560274.0
505,Cofinova 6,1,200406.0
506,Cofinova 7,1,25.0
507,Cold Iron Pictures,2,391081193.0
508,Colliding Pictures,1,426480871.0
509,Collision Entertainment,1,85167639.0
510,Columbia Films S.A.,1,4430765.0
511,Columbia Pictures,120,8304015154.0
512,Columbia Pictures Corporation,98,6133551100.0
513,Columbia Pictures Film Production Asia,2,132018783.0
514,Columbia Pictures Industries,1,6482195.0
515,Columbia Pictures Television,1,85582407.0
516,Columbia TriStar,2,13523006.0
517,Columbia Tristar,1,113916474.0
518,Comedy Central,3,139683307.0
519,Comenius-Film GmbH,1,8720000.0
520,Comet Film Produktion GmbH,1,1.0
521,Comique Film Company,1,10089373.0
522,Compact Yellowbill,1,100655.0
523,Compagnia Cinematografica Champion,1,86432000.0
524,Company Films,1,66980456.0
525,Compass International Pictures,2,30573530.0
526,Concorde Pictures,1,5638000.0
527,Condemned Productions,1,229736344.0
528,Conquering Lion Pictures,1,1606624.0
529,Conspiração Filmes,1,102471.0
530,Constantin Film,2,164433902.0
531,Constantin Film Produktion,1,5475058.0
532,Constellation Films,1,1500000.0
533,ContentFilm International,2,160181797.0
534,Contradiction Films,1,216972543.0
535,Contrafilm,1,203781.0
536,Conundrum Entertainment,1,147880543.0
537,Coop 99,4,14374158.0
538,Coop99 Filmproduktion,1,1864266.0
539,Copa Productions,1,4634062.0
540,Copa del Oro,1,119723856.0
541,Copperheart Entertainment,1,6700000.0
542,Coproduction Office,1,44434439.0
543,Coquette Productions,1,121463226.0
544,Corey Marr Productions Inc.,1,102617.0
545,Corn Cobb Productions,1,57469467.0
546,Corner Store Entertainment,1,154984035.0
547,Corona Cinematografica,1,229147509.0
548,Corona Pictures,1,115922175.0
549,Corsair Pictures,1,49797148.0
550,Corsan Productions,1,12000.0
551,Cote Blanche Productions,1,6797218.0
552,Cream Productions,1,9318.0
553,Creative Entertainment Group,1,135039.0
554,Creative Light Entertainment,1,460978.0
555,Critérion Film,1,5093707.0
556,Crook Brothers Productions,1,28169671.0
557,Crossbow Productions,2,48901218.0
558,Crown International Pictures,2,455083365.0
559,Crusader Entertainment,1,16930185.0
560,Crystal Sky Pictures,1,92601050.0
561,Crystal Sky Worldwide,1,3109904.0
562,Cube Vision,1,11125849.0
563,Cue the Dog Productions,1,1305887.0
564,Cut Glass Productions LLC,1,658000.0
565,D&R,1,153962963.0
566,D.R. Comunicazioni di massa,1,2451545.0
567,D.W. Griffith Productions,1,1103757.0
568,DC Comics,7,344053311.0
569,DENTSU Music And Entertainment,1,54418872.0
570,DNA Films,2,274511539.0
571,Da Huang Pictures,1,66486080.0
572,Dacia Films,1,14715067.0
573,Daiei Motion Picture Company,1,149295601.0
574,Daiei Studios,8,432144781.0
575,Daly-Harris Productions,1,117487473.0
576,Dan Films,1,74901339.0
577,Danger Filmworks,1,33616692.0
578,Dangerous Films,1,114000000.0
579,Dania Film,1,22743674.0
580,Danmarks Radio (DR),1,21833.0
581,Dansk Biograf Compagni,1,5837674.0
582,Danziger Productions Ltd.,1,35007180.0
583,Dark Castle Entertainment,1,141195658.0
584,Dark Horse Entertainment,1,5774854.0
