,production_company,movie_count,ganancia_total
279,Benedict Pictures Corp.,1,4000000.0
280,Benmar Productions,1,38610009.0
281,Bergen Film,1,264118201.0
282,Bernhard-Brandt Productions,1,51155219.0
283,Berns Brothers Productions,1,121.0
284,Bert E. Friedlob Productions,2,10221483.0
285,Bert Marcus Productions,1,8533973.0
286,Beta Film,3,15498757.0
287,Better Than,1,3176880.0
288,Beverly Detroit,1,39103425.0
289,Beyond Films,1,368234.0
290,Beyond Infinity,1,15000000.0
291,Beyond Productions,1,393970.0
292,Big Arty Productions,1,2725258.0
293,Big Beach Films,1,2100000.0
294,Big Deal Pictures,1,30626182.0
295,Big Easy Pictures,1,10337477.0
296,Big Idea Productions,1,10011050.0
297,Big Picture Media Corporation,1,603943.0
298,Big Screen Entertainment Group,2,202176112.0
299,Big Sister Production,1,127251.0
300,Bigel / Mailer Films,1,44527234.0
301,Bigelow Productions,1,13167232.0
302,Bioskop Film,2,42716963.0
303,Bizibi,1,18000000.0
304,Black Balloon Productions,1,17164377.0
305,Black Chalk Productions,1,6086224.0
306,Black Hawk Entertainment,1,30199105.0
307,Blaustein-Baroda,1,40828540.0
308,Blaze Film Enterprises,1,27412220.0
309,Bleiberg Entertainment,2,152857.0
310,Blender Foundation,1,2159041.0
311,Blind Spot Pictures Oy,1,2426851.0
312,Blinder Films,1,830129.0
313,Block 2 Pictures,2,16135639.0
314,Blue Askew,1,8000000.0
315,Blue Parrot Productions,1,23341568.0
316,Blue Rider Pictures,2,415513353.0
317,Blue Sky Studios,3,149104695.0
318,Blueline Films,1,18599102.0
319,Blumhouse Productions,1,161362.0
320,Blurco,1,623.0
321,Bocaboca Producciones S.A.,1,112462508.0
322,Bodega Films,1,18686644.0
323,Boje Buck Produktion,2,371214537.0
324,Bold Films,2,9197795.0
325,Boll Kino Beteiligungs GmbH & Co. KG,3,852659732.0
326,Bones Studio,1,2400000.0
327,Bonneville Entertainment,1,47636016.0
328,Boogui Cinema,1,84967.0
329,Bosna Film,1,92380927.0
330,Box Office Spectaculars,1,4000000.0
331,Branbomm,1,15000.0
332,Brandenberg,1,242623.0
333,Brandman Productions,1,124919.0
334,Brandywine Productions Ltd.,1,8690429.0
335,Braun Entertainment Group,1,1718328.0
336,Bridge Films,1,69700000.0
337,Brigada,1,27305571.0
338,Bright Cold Day Films,1,11000000.0
339,Brightstar Films,1,14681192.0
340,Brillstein-Grey Entertainment,2,71081137.0
341,British Broadcasting Corporation (BBC),9,420774629.0
342,British Columbia Film,2,32301472.0
343,British Film Institute (BFI),3,609198675.0
344,British Film-Makers,1,91709827.0
345,British Lion Film Corporation,1,9317021.0
346,British Lion Films,1,1432687.0
347,Broadway Video,2,162371110.0
348,Broken Lizard Industries,1,116207.0
349,Bron Studios,1,557241.0
350,Brooksfilms,3,77155624.0
351,Brooksfilms Ltd.,1,1382462.0
352,Brookwood Entertainment,1,116643346.0
353,Bryan Foy Productions,1,58795814.0
354,Bryna Productions,3,845230518.0
355,Buena Vista,2,57946713.0
356,Burn Later Productions,1,411115.0
357,Burnside Entertainment,1,18130888.0
358,Busboy Productions,1,884100.0
359,Buster Keaton Productions,5,89987519.0
360,Böcek Yapım,1,55011732.0
361,C.A.P.A.C.,1,25174316.0
362,C.B. DeMille Productions,1,31576.0
363,C.V. Whitney Pictures,1,140000000.0
364,CARTEL S.A.,1,1531251.0
365,CBS Entertainment Productions,2,27245289.0
366,CCC Filmkunst GmbH,1,1400000.0
367,CFI Investments,1,7018189.0
368,CJ Entertainment,4,100844939.0
369,CTB Film Company,3,440992523.0
370,CVD Studios,1,62000000.0
371,Cabin Creek Films,1,3572443.0
372,Cable Stuff Productions,1,35401758.0
373,Calder Road Film,1,3919254.0
374,Camden Productions Inc.,1,13684.0
375,Cameo Film- und Fernsehproduktion,1,8009329.0
376,Camera 2 Productions,1,21821347.0
377,Campfire LLC,1,88058786.0
378,CanWest Global Communications Corporationt,1,90874570.0
379,Canadian Film Development Corporation (CFDC),3,21331295.0
380,Canal Plus,10,1686157523.0
381,Canal Street Films,1,1938.0
382,Canal+,12,596346931.0
383,Canal+Polska,2,65372757.0
384,Canana Films,2,69589.0
385,Cannon Films,5,257518914.0
386,Cannon Group,11,1860694487.0
387,Cannon International,1,103504.0
388,Capital Productions,1,154701.0
389,Capitol Films,4,256339942.0
390,Capitole Films,1,361366633.0
391,Capitolina Produzioni Cinematografiche,1,155760117.0
392,Cappa Productions,1,5101756.0
393,Capricci Films,1,16180000.0
394,Caravan Pictures,9,657135322.0
395,Carmel Entertainment,1,108979549.0
396,Carousel Picture Company,1,4245870.0
397,Casa de Filme 4,1,56386.0
398,Casa de Filme Trei,2,33309604.0
399,Casablanca Filmworks,1,100000000.0
400,Casey Silver Productions,1,5001655.0
401,Castel Film Romania,4,889290118.0
402,Castel Films,1,48298.0
403,Castle Rock Entertainment,13,1138116482.0
404,Castleberg Productions,1,718490.0
405,Castlight Pictures,1,6000000.0
406,Catchlight Films,1,52223306.0
407,Cattleya,1,156505388.0
408,Caviar Films,3,28565327.0
409,Cecchi Gori Group Tiger Cinematografica,3,45392091.0
410,Celador Films,1,121147947.0
411,Celebrated Productions,1,11390479.0
412,Celluloid Dreams,3,782216940.0
413,Centar Film,1,6455530.0
414,Central Films Limited,1,72108608.0
415,Central Motion Pictures,1,516642939.0
416,Central Partnership,3,93252293.0
417,Centre National de la Cinématographie,3,67912656.0
418,Centropolis Entertainment,2,205513499.0
419,Century 21 Television,2,284981157.0
420,"Century Motion Picture & Dist. Co., Ltd.",1,4219536.0
421,Cerito Films,1,35402320.0
422,Ceskoslovenský Státní Film,2,9115096.0
423,Ceská Televize,2,98877825.0
424,Chadwick Pictures Corporation,1,369975.0
425,Chaiken Films,1,3225000.0
426,Change Focus Media,1,108782847.0
427,Chanh Phuong Phim,1,24084.0
428,Channel 4 Television,1,189712432.0
429,Channel 4 Television Corporation,1,414211549.0
430,Channel Four Films,22,1532616367.0
431,"Chaos, a Film Company",1,226830568.0
432,Chapman Filmed Entertainment,1,48125.0
433,Charles Chaplin Productions,3,219329182.0
434,Charles K. Feldman Group,1,1910.0
435,Charles M. Schulz Creative Associates,1,17112713.0
436,Charter Film Productions,1,34533783.0
437,Chenault Productions,1,12729678.0
438,Cherokee Productions,1,56299.0
439,Cherry Sky Films,1,46495.0
440,Cheyenne Enterprises,1,57223890.0
441,Chiller Films,1,52761.0
442,China Film Co-Production Corporation,3,214571237.0
443,China Movie Channel,1,41412709.0
444,Chris Kasick Company,1,3468423.0
445,Christal Films,1,62985.0
446,Christiano Film Group,1,23000.0
447,Chromewood Productions,1,245527149.0
448,Ciby 2000,2,36252726.0
449,Cicrus King Productions,1,449326618.0
450,Cine-2000 Film Production,1,101595121.0
451,CineEvelyn,1,154906693.0
452,Cineclick Asia,1,11260366.0
453,Cinema 23 Film,1,2606000.0
454,Cinema 7,1,4137645.0
455,Cinema 77,2,13484331.0
456,Cinema Center Films,4,513109435.0
457,Cinema City,1,14182492.0
458,Cinema Libre Studio,1,158162788.0
459,Cinema Service,1,429632142.0
460,Cinemaster S.r.l.,1,25434291.0
461,Cinematografica Emmeci,1,26888376.0
462,Cinematograph AB,1,21134374.0
463,Cineplex,1,60289912.0
464,Cineplex-Odeon Films,2,214695279.0
465,Cinerama Productions Corp.,2,14279319.0
466,Cinergi Pictures Entertainment,1,24332324.0
467,Cineriz,1,5000000.0
468,Cinetel Films,2,12572124.0
469,Cineville,2,4481580.0
470,Cinevox Filmproduktion GmbH,1,24046533.0
471,Ciné Tamaris,1,23430766.0
472,Ciné-Alliance,1,96105964.0
473,CinéCinéma,2,77393.0
474,Cinéa,1,1227324.0
475,Circe Films,1,1822250.0
476,Circle Films,1,54682547.0
477,Circle Productions Inc.,1,86865564.0
478,Citel Films,2,34973057.0
479,Citizen Films,1,30238577.0
480,City Film,1,216166.0
481,City Light Films,1,14393902.0
482,Cité Films,1,1221832.0
483,Civilian Pictures,1,151493655.0
484,Clasa Films Mundiales,2,276364776.0
485,Claudia Cinematografica,1,41387687.0
486,Claussen + Wöbke Filmproduktion GmbH,2,30256285.0
487,Clear Blue Sky Productions,1,109130.0
488,Clinica Estetico,1,72527595.0
489,Clover Productions,2,190578751.0
490,Cobalt Media Group,1,31179516.0
491,Cocinor,1,3983912.0
492,Code Entertainment,1,9000000.0
493,Cofimage 5,1,12643776.0
494,Cofinova 3,1,129540499.0
495,Cofinova 4,1,19560274.0
496,Cold Iron Pictures,1,391081192.0
497,Colliding Pictures,1,426480871.0
498,Collision Entertainment,1,85167639.0
499,Colorfast Pictures,1,455815.0
500,Columbia Broadcasting System (CBS),1,443962.0
501,Columbia Films S.A.,1,4430765.0
502,Columbia Pictures,120,8519653382.0
503,Columbia Pictures Corporation,98,5510573277.0
504,Columbia Pictures Film Production Asia,2,132018783.0
505,Columbia Pictures Industries,1,6482195.0
506,Columbia Pictures Television,1,85582407.0
507,Columbia TriStar,3,95490456.0
508,Columbia Tristar,1,113916474.0
509,Comedy Central,2,139029656.0
510,Comenius-Film GmbH,1,8720000.0
511,Comet Film Produktion GmbH,1,1.0
512,Comique Film Company,1,10089373.0
513,Compact Yellowbill,1,100655.0
514,Compagnia Cinematografica Champion,1,86432000.0
515,Compass International Pictures,2,30573530.0
516,Comptoir Français du Film Production (CFFP),1,9713500.0
517,Concorde Pictures,1,5638000.0
518,Concorde-New Horizons,2,293747154.0
519,Condemned Productions,1,229736344.0
520,Confessions Productions (II),1,2439705.0
521,Conquering Lion Pictures,1,1606624.0
522,Consejo Nacional para la Cultura y las Artes (CONACULTA),1,17472.0
523,Conspicuous Pictures,1,100525432.0
524,Conspiração Filmes,2,159045.0
525,Constance Media,1,19010585.0
526,Constantin Film,3,770624278.0
527,Constellation Films,1,1500000.0
528,Contact Films,1,75026965.0
529,Contemporary Historians Inc.,1,48390.0
530,Content Media Corp.,1,1200000.0
531,ContentFilm International,1,2019009.0
532,Continental Films,1,1142944.0
533,Contrafilm,1,203781.0
534,Conundrum Entertainment,1,147880543.0
535,Coop 99,2,53302541.0
536,Cooperativa 15 Maggio,1,28641776.0
537,Cooperativa Spettatori Produttori Cinematografici,1,25513752.0
538,Copa Productions,1,4634062.0
539,Copa del Oro,1,119723856.0
540,"Copercines, Cooperativa Cinematográfica",1,1169603.0
541,Copperheart Entertainment,1,6700000.0
542,Coproduction Office,1,44434439.0
543,Coquette Productions,1,121463226.0
544,Coram Deo Studios,1,266586800.0
545,Corazón International,2,2214142.0
546,Corn Cobb Productions,1,57469467.0
547,Corona Pictures,1,2963902.0
548,Corporation for Public Broadcasting (CPB),1,1632.0
549,Corsair Pictures,1,49797148.0
550,Cote Blanche Productions,1,6797218.0
551,Cranium Entertainment,1,33125.0
552,Cream Productions,1,169976.0
553,Create Entertainment,1,4600000.0
554,Creative Light Entertainment,1,460978.0
555,Creativity Media,1,133718711.0
556,Critérion Film,1,5093707.0
557,Cromosoma TV produccions,1,26049082.0
558,Crook Brothers Productions,1,28169671.0
559,Cross Creek Pictures,1,5475058.0
560,Crossbow Productions,2,48901218.0
561,Crown International Pictures,2,21073595.0
562,Crudofilms,1,20566327.0
563,Crusader Entertainment,1,16930185.0
564,Cruze & Company,1,220021259.0
565,Crystal City Entertainment,1,30000000.0
